Index, Buffer Level, Bitrate, Playback Timestamp, QoE, Bandwidth, Latency, Resolution
0,0,760,0,0,5000000,38,"480x270"
1,0,760,0,0,5000000,38,"480x270"
2,0,760,0,-3126.6666666666665,5000000,38,"480x270"
3,0,760,0,-5873.333333333333,5000000,38,"480x270"
4,4,254,0.015918,-5961.7,5000000,38,"320x180"
5,3.983,254,0.056521,-5915.2,5000000,38,"320x180"
6,7.942,254,0.153101,-5885,5000000,38,"320x180"
7,7.806,254,0.200484,-5863.857142857143,5000000,38,"320x180"
8,11.743,254,0.268863,-5848.25,5000000,38,"320x180"
9,11.743,254,0.335258,-5836.266666666666,5000000,38,"320x180"
10,15.664,254,0.381807,-5826.781818181818,5000000,38,"320x180"
11,15.54,254,0.552862,-5819.090909090909,5000000,38,"320x180"
12,15.009,254,1.010142,-5812.7307692307695,5000000,38,"320x180"
13,18.989,254,1.198681,-5807.384615384615,5000000,38,"320x180"
14,18.478,254,1.531865,-5802.828571428571,5000000,38,"320x180"
15,22.467,254,1.669522,-5798.9,5000000,38,"320x180"
16,26.212,254,1.799949,-5795.47794117647,5000000,38,"320x180"
17,30.199,254,1.84687,-5792.470588235294,5000000,38,"320x180"
18,30.199,254,1.936601,-5789.80701754386,5000000,38,"320x180"
19,34.062,254,1.969098,-5787.4315789473685,5000000,38,"320x180"
20,33.946,254,2.095576,-5785.3,5000000,38,"320x180"
21,33.946,254,2.138438,-5783.376623376624,5000000,38,"320x180"
22,37.861,254,2.250841,-5781.632411067194,5000000,38,"320x180"
23,37.861,254,2.303412,-5780.04347826087,5000000,38,"320x180"
24,41.681,254,2.378874,-5778.59,5000000,38,"320x180"
25,41.587,254,2.434477,-5777.255384615384,5000000,38,"320x180"
26,45.565,254,2.502849,-5776.025641025641,5000000,38,"320x180"
27,45.415,254,2.58717,-5774.888888888889,5000000,38,"320x180"
28,49.412,254,2.602129,-5773.834975369458,5000000,38,"320x180"
29,49.228,254,2.83364,-5772.855172413793,5000000,38,"320x180"
30,49.15,254,2.868235,-5771.941935483871,5000000,38,"320x180"
31,53.13,507,3.101016,-5771.34375,5000000,38,"320x180"
32,52.868,507,3.278285,-5762.862689393939,5000000,38,"320x180"
33,52.618,507,3.4555,-5754.883244206773,5000000,38,"320x180"
34,52.543,507,3.476071,-5747.362184873949,5000000,38,"320x180"
35,51.29,507,4.713051,-5740.261111111111,5000000,38,"320x180"
36,51.285,254,4.716277,-5747.411411411412,5000000,38,"320x180"
37,51.283,254,4.718083,-5747.339260312944,5000000,38,"320x180"
38,51.281,254,4.72045,-5747.272604588394,5000000,38,"320x180"
39,51.278,254,4.723303,-5747.210897435897,5000000,38,"320x180"
40,51.275,254,4.725932,-5747.153658536586,5000000,38,"320x180"
41,51.273,254,4.728564,-5747.100464576074,5000000,38,"320x180"
42,51.27,254,4.731541,-5747.050941306756,5000000,38,"320x180"
43,51.267,254,4.733788,-5747.004756871036,5000000,38,"320x180"
