Index, Buffer Level, Bitrate, Playback Timestamp, QoE, Bandwidth, Latency, Resolution
0,0,760,0,0,5000000,13,"480x270"
1,0,760,0,0,5000000,13,"480x270"
2,0,760,0,-3126.6666666666665,5000000,13,"480x270"
3,0,760,0,-5873.333333333333,5000000,13,"480x270"
4,3.695,507,0.386078,-5847.85,5000000,13,"320x180"
5,3.601,507,0.432224,-5780.266666666666,5000000,13,"320x180"
6,3.429,507,0.711293,-5734.4047619047615,5000000,13,"320x180"
7,7.164,507,0.871545,-5701.214285714285,5000000,13,"320x180"
8,11.127,507,0.993478,-5676.069444444444,5000000,13,"320x180"
9,11.127,507,1.036114,-5656.355555555556,5000000,13,"320x180"
10,14.962,760,1.041513,-5642.781818181818,5000000,13,"480x270"
11,14.898,760,1.116454,-5608.257575757576,5000000,13,"480x270"
12,14.881,760,1.309758,-5579.192307692308,5000000,13,"480x270"
13,14.881,760,1.311832,-5554.384615384615,5000000,13,"480x270"
14,14.523,760,1.539561,-5532.961904761904,5000000,13,"480x270"
15,14.367,760,1.726587,-5514.275,5000000,13,"480x270"
16,14.101,760,1.916896,-5497.830882352941,5000000,13,"480x270"
17,18.081,760,2.073893,-5483.248366013072,5000000,13,"480x270"
18,21.57,760,2.446336,-5470.228070175439,5000000,13,"480x270"
19,25.445,1013,2.622741,-5459.1973684210525,5000000,13,"640x360"
20,25.376,1013,2.626677,-5436.521428571428,5000000,13,"640x360"
21,25.304,1013,2.72974,-5415.924242424242,5000000,13,"640x360"
22,25.304,1013,2.882664,-5397.132411067194,5000000,13,"640x360"
23,25.038,1255,3.02287,-5380.356884057971,5000000,13,"640x360"
24,24.976,1255,3.029762,-5354.8150000000005,5000000,13,"640x360"
25,24.773,1255,3.236161,-5331.247692307692,5000000,13,"640x360"
26,24.507,1255,3.53772,-5309.434472934473,5000000,13,"640x360"
27,24.242,1255,3.951861,-5289.186507936508,5000000,13,"640x360"
28,23.976,1255,4.158205,-5270.341133004926,5000000,13,"640x360"
29,23.444,1255,4.575855,-5252.757471264368,5000000,13,"640x360"
30,23.288,1884,4.753681,-5236.989247311828,5000000,13,"768x432"
31,23.178,1884,5.049106,-5201.878024193548,5000000,13,"768x432"
32,22.647,1884,5.380815,-5168.899621212121,5000000,13,"768x432"
33,22.382,1884,5.753993,-5137.86541889483,5000000,13,"768x432"
34,21.851,1884,6.155816,-5108.608403361344,5000000,13,"768x432"
35,21.492,1884,6.646303,-5080.980158730159,5000000,13,"768x432"
36,21.319,3134,6.793071,-5055.786786786786,5000000,13,"1024x576"
37,20.789,3134,7.27422,-4998.0889046941675,5000000,13,"1024x576"
38,20.414,3134,7.732193,-4943.353576248313,5000000,13,"1024x576"
39,19.992,3134,8.10576,-4891.358333333334,5000000,13,"1024x576"
40,19.46,3134,8.58342,-4841.90243902439,5000000,13,"1024x576"
41,18.929,3134,9.18137,-4794.804297328687,5000000,13,"1024x576"
42,22.398,3134,9.676127,-4749.899224806201,5000000,13,"1024x576"
43,26.257,4953,9.755236,-4707.9989429175475,5000000,13,"1280x720"
44,26.257,4953,9.812762,-4626.579292929293,5000000,13,"1280x720"
45,26.186,4953,9.857277,-4548.702415458937,5000000,13,"1280x720"
46,25.601,4953,10.463436,-4474.141998149861,5000000,13,"1280x720"
47,24.804,4953,11.262838,-4402.690602836879,5000000,13,"1280x720"
48,24.008,4953,12.214464,-4334.1577380952385,5000000,13,"1280x720"
49,23.211,4953,12.985067,-4268.368163265306,5000000,13,"1280x720"
50,22.414,4953,13.77284,-4205.160392156863,5000000,13,"1280x720"
51,21.617,4953,14.416885,-4144.385369532429,5000000,13,"1280x720"
52,20.82,4953,15.203526,-4085.905297532656,5000000,13,"1280x720"
53,24.508,4953,15.505097,-4029.5925925925926,5000000,13,"1280x720"
54,24.289,4953,15.735417,-3975.328956228956,5000000,13,"1280x720"
55,28.023,4953,16.144588,-3923.004545454545,5000000,13,"1280x720"
56,27.758,4953,16.413783,-3872.517230576441,5000000,13,"1280x720"
57,31.226,4953,16.775724,-3823.7719298245615,5000000,13,"1280x720"
58,30.961,4953,17.126922,-3776.680011689071,5000000,13,"1280x720"
59,34.695,4953,17.456402,-3731.158757062147,5000000,13,"1280x720"
60,34.164,4953,17.889729,-3687.1308743169398,5000000,13,"1280x720"
61,37.898,4953,18.160262,-3644.5240613432047,5000000,13,"1280x720"
62,37.633,4953,18.52753,-3603.2706093189963,5000000,13,"1280x720"
63,41.273,4953,18.830995,-3563.3070436507937,5000000,13,"1280x720"
64,41.101,4953,19.083426,-3524.573798076923,5000000,13,"1280x720"
65,44.554,4953,19.489993,-3487.0149184149186,5000000,13,"1280x720"
66,44.304,4953,19.740465,-3450.577792853912,5000000,13,"1280x720"
67,48.039,4953,20.147752,-3415.2129060579455,5000000,13,"1280x720"
68,47.508,4953,20.614437,-3380.8736146632564,5000000,13,"1280x720"
69,51.117,4953,20.899398,-3347.5159420289856,5000000,13,"1280x720"
70,50.976,4953,21.186353,-3315.0983903420524,5000000,13,"1280x720"
71,54.445,4953,21.612746,-3283.5817683881064,5000000,13,"1280x720"
72,54.18,4953,21.912816,-3252.9290334855405,5000000,13,"1280x720"
73,57.914,4953,22.326655,-3223.1051462421324,5000000,13,"1280x720"
74,57.648,4953,22.608711,-3194.0769369369373,5000000,13,"1280x720"
75,61.117,4953,22.963105,-3165.8129824561406,5000000,13,"1280x720"
76,60.851,4953,23.197121,-3138.2834928229668,5000000,13,"1280x720"
77,64.586,4953,23.577451,-3111.4602064602063,5000000,13,"1280x720"
78,64.242,4953,23.836896,-3085.31629341123,5000000,13,"1280x720"
79,67.789,4953,24.22589,-3059.8262658227845,5000000,13,"1280x720"
80,67.523,4953,24.577682,-3034.9658950617286,5000000,13,"1280x720"
81,71.164,4953,24.932277,-3010.712134899127,5000000,13,"1280x720"
82,70.992,4953,25.150896,-2987.0430502497798,5000000,13,"1280x720"
83,74.461,4953,25.546239,-2963.937751004016,5000000,13,"1280x720"
84,74.445,4953,25.771197,-2941.376330532213,5000000,13,"1280x720"
85,77.93,4953,26.305265,-2919.339808481532,5000000,13,"1280x720"
86,77.664,4953,26.533538,-2897.81007751938,5000000,13,"1280x720"
87,81.133,4953,26.969427,-2876.769853709509,5000000,13,"1280x720"
88,80.867,4953,27.259472,-2856.2026302349336,5000000,13,"1280x720"
89,84.336,4953,27.690426,-2836.0926342072407,5000000,13,"1280x720"
90,84.07,4953,27.962929,-2816.4247863247865,5000000,13,"1280x720"
91,87.805,4953,28.392618,-2797.184663162924,5000000,13,"1280x720"
92,87.539,4953,28.627632,-2778.358461898083,5000000,13,"1280x720"
93,91.008,4953,29.058098,-2759.932967284374,4000000,18,"1280x720"
94,90.566,4953,29.454073,-2741.895520716685,4000000,18,"1280x720"
95,94.477,4953,29.760619,-2724.2339912280704,4000000,18,"1280x720"
96,93.945,4953,30.150888,-2706.936748281787,4000000,18,"1280x720"
97,97.68,4953,30.48736,-2689.9926362297497,4000000,18,"1280x720"
98,97.414,4953,30.829108,-2673.390950319522,4000000,18,"1280x720"
99,100.883,4953,31.265832,-2657.1214141414143,4000000,18,"1280x720"
100,100.352,4953,31.686571,-2641.1741584158417,4000000,18,"1280x720"
101,104.086,4953,31.967285,-2625.5397010289266,4000000,18,"1280x720"
102,103.82,4953,32.438111,-2610.208928231487,4000000,18,"1280x720"
103,107.258,4953,32.744865,-2595.173076923077,4000000,18,"1280x720"
104,106.898,4953,33.177543,-2580.423717948718,4000000,18,"1280x720"
105,110.492,4953,33.559171,-2565.95274034142,4000000,18,"1280x720"
106,110.18,4953,33.961187,-2551.7523364485983,4000000,18,"1280x720"
107,113.82,4953,34.276866,-2537.8149878850813,4000000,18,"1280x720"
108,113.43,4953,34.621725,-2524.133452259599,4000000,18,"1280x720"
109,117.102,4953,34.98987,-2510.7007506255213,4000000,18,"1280x720"
110,116.742,4953,35.366215,-2497.5101556101554,4000000,18,"1280x720"
111,120.382,4953,35.625189,-2484.5551801801803,4000000,18,"1280x720"
112,118.773,4953,37.260941,-2471.829567003793,4000000,18,"1280x720"
113,122.242,4953,37.868325,-2459.3272783729235,4000000,18,"1280x720"
114,119.054,4953,41.081025,-2447.042486651411,4000000,18,"1280x720"
115,122.523,4953,41.617572,-2434.9695652173914,4000000,18,"1280x720"
116,118.539,4953,45.697049,-2423.103079870321,4000000,18,"1280x720"
117,121.961,4953,46.231722,-2411.437780675069,4000000,18,"1280x720"
118,119.086,4953,48.981521,-2399.968594217348,4000000,18,"1280x720"
119,122.726,4953,49.431934,-2388.6906162464984,4000000,18,"1280x720"
120,118.836,4953,53.358536,-2377.5991046831955,4000000,18,"1280x720"
121,122.414,4953,53.588005,-2366.689472971142,4000000,18,"1280x720"
122,118.851,4953,57.219319,-2355.957283753165,4000000,18,"1280x720"
123,122.32,4953,57.816041,-2345.3982428533964,4000000,18,"1280x720"
124,118.602,4953,61.528698,-2335.008193548387,3000000,28,"1280x720"
125,122.07,4953,61.946602,-2324.7831111111113,3000000,28,"1280x720"
126,118.086,4953,66.026042,-2314.719097612798,3000000,28,"1280x720"
127,121.289,4953,66.85589,-2304.812376968504,3000000,28,"1280x720"
128,111.992,4953,76.015073,-2295.0592902131784,3000000,28,"1280x720"
129,115.727,4953,76.502182,-2285.456290995826,3000000,28,"1280x720"
130,110.68,4953,81.375774,-2275.999941280094,3000000,28,"1280x720"
131,114.383,4953,81.633664,-2266.6869072403424,3000000,28,"1280x720"
132,113.086,4953,83.111043,-2257.5139553429026,3000000,28,"1280x720"
133,116.82,4953,83.264152,-2248.47794860285,3000000,28,"1280x720"
134,115.758,4953,84.259231,-2239.5758430071864,3000000,28,"1280x720"
135,119.735,4953,84.388423,-2230.8046840958605,3000000,28,"1280x720"
136,118.961,4953,85.160801,-2222.161603692572,3000000,28,"1280x720"
137,122.695,4953,85.553121,-2213.643816777743,3000000,28,"1280x720"
138,117.914,4953,90.118623,-2205.2486184965073,2000000,58,"1280x720"
139,121.382,4953,90.693883,-2196.973381294964,2000000,58,"1280x720"
140,117.93,4953,94.16223,-2188.8155521783183,2000000,58,"1280x720"
141,121.664,4953,94.340978,-2180.7726500849067,2000000,58,"1280x720"
142,118.477,4953,97.785354,-2172.842263370432,2000000,58,"1280x720"
143,121.945,4953,98.071326,-2165.0220473970476,2000000,58,"1280x720"
144,118.758,4953,101.504627,-2157.3097222222223,2000000,58,"1280x720"
145,122.227,4953,101.865034,-2149.703070382617,2000000,58,"1280x720"
146,118.508,4953,105.701334,-2142.1999347684277,2000000,58,"1280x720"
147,121.977,4953,106.041098,-2134.7982165839308,2000000,58,"1280x720"
148,118.523,4953,109.627109,-2127.4958733901685,2000000,58,"1280x720"
149,121.727,4953,110.340919,-2120.2909172259506,2000000,58,"1280x720"
150,118.805,4953,113.22372,-2113.181412803532,2000000,58,"1280x720"
151,122.539,4953,113.49768,-2106.1654757755314,2000000,58,"1280x720"
152,118.555,4953,117.504125,-2099.2412710698313,2000000,58,"1280x720"
153,122.023,4953,118.224798,-2092.407011289364,2000000,58,"1280x720"
154,118.039,4953,122.143175,-2085.6609551738584,1500000,200,"1280x720"
155,121.773,4953,122.460275,-2079.0014061207607,1500000,200,"1280x720"
156,118.055,4953,126.031403,-2072.426710762698,1500000,200,"1280x720"
157,121.523,4953,126.694534,-2065.9352575989683,1500000,200,"1280x720"
158,118.07,4953,130.132897,-2059.525475678688,1500000,200,"1280x720"
159,121.805,4953,130.435811,-2053.1958333333337,1500000,200,"1280x720"
