Index, Buffer Level, Bitrate, Playback Timestamp, QoE, Bandwidth, Latency, Resolution
0,0,760,0,0,9000000,10,"480x270"
1,0,760,0,0,9000000,10,"480x270"
2,0,760,0,-3126.6666666666665,9000000,10,"480x270"
3,0,760,0,-5873.333333333333,9000000,10,"480x270"
4,4,4953,0.020786,-5943.65,9000000,10,"1280x720"
5,3.901,4953,0.159651,-5086.266666666666,9000000,10,"1280x720"
6,2.854,4953,1.362153,-4485.642857142857,9000000,10,"1280x720"
7,6.057,4953,2.160509,-4041.0714285714284,9000000,10,"1280x720"
8,9.834,9915,2.204536,-3767.4861111111113,9000000,10,"1920x1080"
9,9.745,9915,2.465094,-2985.466666666667,9000000,10,"1920x1080"
10,9.526,9915,2.503407,-2348.136363636364,9000000,10,"1920x1080"
11,8.729,9915,3.394429,-1818.696969696969,9000000,10,"1920x1080"
12,8.593,14932,3.521644,-1404.0256410256407,9000000,10,"3840x2160"
13,6.339,14932,5.745375,-658.9010989010994,9000000,10,"3840x2160"
14,4.214,14932,7.8544,-14.038095238094684,9000000,10,"3840x2160"
15,7.417,14932,8.594232,549.5333333333328,9000000,10,"3840x2160"
16,6.355,14932,9.710981,1046.2794117647063,9000000,10,"3840x2160"
17,9.292,14932,10.771732,1487.424836601307,9000000,10,"3840x2160"
18,7.964,14932,12.083272,1881.812865497076,9000000,10,"3840x2160"
19,11.683,14932,12.383234,2236.5052631578947,9000000,10,"3840x2160"
20,9.308,14932,14.872128,2557.2095238095226,9000000,10,"3840x2160"
21,11.979,14932,16.226726,2848.5887445887456,9000000,10,"3840x2160"
22,0.027,14932,28.216063,114.49011857707592,9000000,10,"3840x2160"
23,0.015,14932,31.984648,-2641.884057971014,4000000,50,"3840x2160"
24,0.015,14932,31.984648,-5417.846666666666,4000000,50,"3840x2160"
25,4.015,9915,31.984648,-5604.767692307691,4000000,50,"1920x1080"
26,1.014,9915,35.233257,-5584.380341880342,4000000,50,"1920x1080"
27,0,9915,37.466591,-8565.530423280423,4000000,50,"1920x1080"
28,0,9915,38.585146,-11548.050492610839,4000000,50,"1920x1080"
29,1.415,4953,38.585146,-11868.3,4000000,50,"1280x720"
30,0,4953,42.895194,-15002.17311827957,4000000,50,"1280x720"
31,0,4953,42.895194,-18127.736895161288,4000000,50,"1280x720"
32,0,4953,46.914725,-21245.741477272728,2000000,150,"1280x720"
33,1.08,4953,46.919618,-21356.84937611408,2000000,150,"1280x720"
34,0,4953,50.921907,-24461.647899159667,2000000,150,"1280x720"
35,0,4953,50.921907,-27560.659523809525,2000000,150,"1280x720"
36,0,4953,53.590656,-30654.3506006006,2000000,150,"1280x720"
37,0,4953,54.927922,-33743.1386913229,2000000,150,"1280x720"
38,0,4953,57.127237,-36827.3987854251,2000000,150,"1280x720"
39,2.606,4953,57.42362,-36907.46858974359,2000000,150,"1280x720"
40,0.872,4953,59.274681,-36983.653048780485,2000000,150,"1280x720"
41,4.34,3134,59.724401,-37143.903600464575,2000000,150,"1024x576"
42,4.275,3134,59.741284,-37253.35880398671,2000000,150,"1024x576"
43,3.012,3134,61.159506,-37357.85517970401,2000000,150,"1024x576"
44,6.215,3134,61.799952,-37457.72222222222,2000000,150,"1024x576"
45,4.887,3134,63.365198,-37553.260869565216,2000000,150,"1024x576"
46,8.09,3134,63.98885,-37644.746530989825,2000000,150,"1024x576"
47,7.559,3134,64.552489,-37732.43173758865,2000000,150,"1024x576"
48,10.497,3134,65.626186,-37816.54846938775,2000000,150,"1024x576"
49,10.497,3134,65.640262,-37897.31020408163,2000000,150,"1024x576"
50,14.355,4953,65.647243,-37975.62705882353,2000000,150,"1280x720"
